City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Rogers,US,36.3668,-95.5836,42.01,41,90,10.36,overcast clouds
309,Aljezur,PT,37.3191,-8.8033,59.0,100,98,5.01,overcast clouds
310,Cascais,PT,38.6979,-9.4215,60.01,94,75,18.41,broken clouds
311,Belaya Gora,RU,68.5333,146.4167,-36.18,82,100,3.67,overcast clouds
312,Lere,NG,10.387,8.5726,73.81,20,85,7.78,overcast clouds
313,Nelson Bay,AU,-32.7167,152.15,70.0,83,0,5.75,clear sky
314,Half Moon Bay,US,37.4636,-122.4286,51.8,76,40,5.75,scattered clouds
315,Magalia,US,39.8121,-121.5783,48.0,93,20,1.1,few clouds
316,Lata,PT,40.1629,-8.3327,59.0,94,100,4.0,overcast clouds
317,Bethel,US,41.3712,-73.414,28.99,34,1,13.8,clear sky
318,Havoysund,NO,70.9963,24.6622,15.8,73,100,19.57,light snow
319,Rio Grande,BR,-32.035,-52.0986,84.0,69,40,11.5,scattered clouds
320,Fairbanks,US,64.8378,-147.7164,21.0,85,40,3.53,scattered clouds
321,Bull Savanna,JM,17.8868,-77.5902,80.31,61,0,4.81,clear sky
322,Kalmunai,LK,7.4167,81.8167,75.65,81,7,5.53,clear sky
323,Dubbo,AU,-32.25,148.6167,68.0,64,0,4.61,clear sky
324,Mazamari,PE,-11.3258,-74.5308,88.97,39,69,4.16,broken clouds
325,Marzuq,YE,14.4,46.4667,57.65,36,70,1.72,broken clouds
326,Mount Gambier,AU,-37.8333,140.7667,60.8,82,75,4.61,heavy intensity rain
327,Fuling,CN,29.7022,107.3919,54.23,68,98,2.82,overcast clouds
328,Constitucion,CL,-35.3333,-72.4167,68.38,67,14,7.23,few clouds
329,Auch,FR,43.65,0.5833,44.01,87,100,5.32,light rain
330,Paka,MY,4.6374,103.4368,73.4,100,87,3.44,overcast clouds
331,Komatipoort,ZA,-25.4332,31.9548,75.2,83,100,3.44,light rain
332,Port Lincoln,AU,-34.7333,135.8667,76.39,44,97,5.39,moderate rain
333,Teguise,ES,29.0605,-13.564,68.0,64,20,12.66,few clouds
334,Dzerzhinsk,RU,56.2389,43.4631,33.8,100,90,8.95,light rain
335,Kipushi,CD,-11.7667,27.2333,63.28,97,100,1.45,overcast clouds
336,Young,UY,-32.6833,-57.6333,95.0,39,2,5.01,clear sky
337,Barbacoas,CO,1.6715,-78.1398,84.67,69,98,4.27,moderate rain
